"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",0.33,1,0,0.77,0,0,0,0
"2",0.085,0.005,0.36,0,0,0,0,0
"3",0.1,0,0,0.005,0,0,0,0
"4",0.22,0,0,0.005,0,0,0,0
"5",0,0,0,0,0,0,0,0
"6",0,0,0.005,0,0,0,0,0
"7",0,0,0.345,0.145,0,0,0,0
"8",0.39,0.015,0.04,0,0,0,0,0
"9",0,0.095,0,0,0,0,0,0
"10",0.96,0,0,0.055,0,0,0,0
"11",0.02,0.075,0.03,0.005,0,0,0,0
"12",0.045,0,0,0,0,0,0,0
"13",0.245,0,0,0.025,0,0,0,0
"14",0.105,0,0.115,0,0,0,0,0
"15",0,0.02,0,0,0,0,0,0
"16",0.265,0.035,0.03,0.04,0,0,0,0
"17",0.06,0,0,0,0,0,0,0
"18",1,0.23,0,0,0,0,0,0
"19",0,0.72,0,0,0,0,0,0
"20",0.085,1,0.155,0,0,0,0,0
